ID,DistrictsAndNeighbourhoods,Encoding_3,DistanceToLargeSupermarket_24,Within1Km_25,Within3Km_26,Within5Km_27,DistanceToShopForOtherDailyFood_28,DistanceToDepartmentStore_32,Within5Km_33,Within10Km_34,Within20Km_35,DistanceToCafeEtc_36,Within1Km_37,Within3Km_38,Within5Km_39,DistanceToCafeteriaEtc_40,Within1Km_41,Within3Km_42,Within5Km_43
126,BU00590000,BU00590000,0.9,1.6,3.0,3.4,0.7,5.6,0.1,1.7,5.1,5.1,0.0,0.0,0.5,       .,       .,       .,       .
127,BU00590001,BU00590001,3.0,0.0,0.6,5.0,2.8,8.5,0.0,1.5,5.1,3.4,0.0,0.2,2.7,       .,       .,       .,       .
128,BU00590002,BU00590002,0.6,1.0,1.0,1.3,0.6,8.4,0.0,1.0,6.0,0.9,0.5,1.0,1.3,       .,       .,       .,       .
129,BU00590003,BU00590003,2.3,0.0,2.3,3.8,0.4,9.2,0.0,1.0,6.6,1.4,0.1,1.1,3.0,       .,       .,       .,       .
130,BU00590004,BU00590004,5.6,0.0,0.0,0.0,5.6,7.2,0.0,1.9,6.1,0.6,0.9,1.0,1.1,       .,       .,       .,       .
131,BU00590005,BU00590005,2.1,0.3,2.5,3.5,2.0,5.7,0.2,1.4,6.0,4.5,0.0,0.1,1.1,       .,       .,       .,       .
132,BU00590006,BU00590006,2.4,0.0,0.7,5.4,2.4,7.8,0.0,1.0,5.0,2.5,0.0,0.7,2.2,       .,       .,       .,       .
133,BU00590007,BU00590007,1.9,0.1,0.9,1.3,1.9,8.7,0.0,1.8,6.3,2.3,0.0,0.8,1.3,       .,       .,       .,       .
134,BU00590008,BU00590008,3.4,0.0,0.2,4.4,1.2,8.2,0.0,1.4,6.2,2.7,0.0,0.6,3.0,       .,       .,       .,       .
135,BU00590009,BU00590009,5.7,0.0,0.0,1.2,5.6,7.3,0.0,1.6,5.6,2.1,0.0,1.0,1.3,       .,       .,       .,       .
136,WK005901,WK005901,3.7,0.0,0.7,1.7,2.4,6.1,0.1,1.5,5.9,1.5,0.3,1.2,3.1,       .,       .,       .,       .
137,BU00590100,BU00590100,6.5,0.0,0.0,0.0,6.5,8.1,0.0,2.0,5.7,1.5,0.1,1.0,1.0,       .,       .,       .,       .
138,BU00590102,BU00590102,2.4,0.0,1.3,2.0,0.4,6.1,0.0,1.0,6.0,1.8,0.0,1.3,4.0,       .,       .,       .,       .
139,BU00590103,BU00590103,4.8,0.0,0.0,1.2,3.8,5.4,0.1,2.0,5.8,0.5,1.0,1.0,2.2,       .,       .,       .,       .
140,BU00590107,BU00590107,6.8,0.0,0.0,0.0,6.7,7.7,0.0,2.0,5.7,2.7,0.0,0.6,1.5,       .,       .,       .,       .
141,BU00590108,BU00590108,2.8,0.0,0.7,3.5,1.6,5.8,0.1,1.0,5.3,2.1,0.1,1.4,4.0,       .,       .,       .,       .
142,BU00590109,BU00590109,4.0,0.0,0.4,3.7,3.8,6.2,0.3,1.7,6.1,2.7,0.2,1.0,3.1,       .,       .,       .,       .
143,WK005902,WK005902,1.3,1.2,3.4,5.6,1.1,2.3,1.0,1.3,5.9,1.0,1.2,2.6,6.3,       .,       .,       .,       .
144,BU00590200,BU00590200,0.7,1.9,4.9,6.0,0.5,0.8,1.0,1.4,6.5,0.7,2.1,3.2,6.3,       .,       .,       .,       .
145,BU00590201,BU00590201,0.6,0.9,3.1,5.7,0.5,3.2,1.0,1.0,5.0,0.6,0.9,2.5,6.7,       .,       .,       .,       .
146,BU00590202,BU00590202,3.8,0.0,0.0,5.5,3.8,3.8,1.0,1.4,6.8,2.2,0.0,1.1,5.0,       .,       .,       .,       .
147,BU00590203,BU00590203,3.1,0.0,0.3,4.0,3.0,3.7,1.0,2.0,5.0,1.2,0.2,1.8,6.0,       .,       .,       .,       .
148,BU00590206,BU00590206,1.7,0.6,3.9,5.7,1.0,2.0,1.0,1.6,6.0,1.7,0.0,3.5,6.6,       .,       .,       .,       .
149,BU00590207,BU00590207,1.9,0.0,1.7,5.5,1.7,4.0,1.0,1.4,5.0,1.3,0.3,2.0,7.0,       .,       .,       .,       .
150,BU00590208,BU00590208,3.7,0.0,1.3,3.5,3.7,3.8,0.8,1.2,6.6,3.1,0.0,1.2,3.9,       .,       .,       .,       .
151,BU00590209,BU00590209,4.0,0.0,0.1,3.8,2.7,4.6,0.7,2.0,5.0,1.3,0.3,2.0,5.9,       .,       .,       .,       .
152,GM0482,GM0482,0.6,1.8,5.0,7.1,0.5,1.4,1.3,5.8,29.1,1.2,0.9,4.0,5.1,       .,       .,       .,       .
153,WK048201,WK048201,0.6,2.8,5.0,8.6,0.5,1.0,1.8,5.9,28.8,0.7,2.7,4.0,5.1,       .,       .,       .,       .
154,BU04820101,BU04820101,0.6,2.4,5.0,8.3,0.4,0.8,1.3,6.0,29.1,0.8,1.3,4.0,5.6,       .,       .,       .,       .
155,BU04820102,BU04820102,0.4,3.7,5.0,8.0,0.3,0.8,1.8,5.9,28.9,0.6,3.2,4.0,4.1,       .,       .,       .,       .
156,BU04820103,BU04820103,0.6,3.8,5.0,8.1,0.5,1.1,1.8,5.7,28.7,0.7,3.2,4.0,4.2,       .,       .,       .,       .
157,BU04820104,BU04820104,0.7,1.4,5.0,10.2,0.5,1.5,2.2,5.9,28.3,0.5,2.6,4.0,5.6,       .,       .,       .,       .
158,BU04820105,BU04820105,0.7,1.9,5.0,8.9,0.6,1.1,2.0,6.0,29.0,0.6,3.1,4.0,6.1,       .,       .,       .,       .
159,WK048202,WK048202,0.6,0.9,5.0,6.2,0.5,2.1,1.0,5.8,31.0,2.1,0.0,4.1,6.1,       .,       .,       .,       .
160,BU04820201,BU04820201,1.1,0.5,4.8,6.7,0.9,2.4,1.0,5.8,31.6,2.0,0.0,4.1,6.5,       .,       .,       .,       .
161,BU04820202,BU04820202,0.5,1.0,5.1,6.1,0.4,2.2,1.0,5.6,31.0,2.3,0.0,4.1,6.1,       .,       .,       .,       .
162,BU04820203,BU04820203,0.5,1.0,5.0,6.0,0.4,1.5,1.0,6.0,30.0,1.6,0.0,4.0,6.0,       .,       .,       .,       .
163,BU04820204,BU04820204,0.9,1.0,5.0,7.2,0.9,1.5,1.4,6.0,29.6,1.3,0.4,4.0,6.0,       .,       .,       .,       .
164,BU04820205,BU04820205,0.3,1.0,5.0,6.0,0.3,2.0,1.0,6.0,31.0,2.0,0.0,4.0,6.0,       .,       .,       .,       .
165,BU04820206,BU04820206,0.7,1.0,5.1,6.1,0.6,2.3,1.0,5.9,31.0,2.4,0.0,4.2,6.1,       .,       .,       .,       .
166,WK048203,WK048203,0.6,2.0,5.0,6.4,0.4,1.2,1.1,5.9,29.1,1.1,0.6,4.0,5.0,       .,       .,       .,       .
167,BU04820301,BU04820301,1.1,0.4,5.0,5.4,0.6,1.4,1.0,6.0,29.0,1.4,0.0,4.0,4.9,       .,       .,       .,       .
