ID,DistrictsAndNeighbourhoods,Encoding_3,Within1Km_45,Within3Km_46,Within5Km_47,DistanceToHotelEtc_48,Within5Km_49,Within105km_50,Within20Km_51,DistanceToDaycareCentres_52,Within1Km_53,Within3Km_54,Within5Km_55,DistanceToOutOfSchoolCare_56,Within1Km_57,Within3Km_58,Within5Km_59,DistanceToSchool_60,Within1Km_61,Within3Km_62,Within5Km_63
10983,WK035607,WK035607,0.0,17.6,68.2,       .,       .,       .,       .,1.3,0.0,12.6,46.3,1.1,0.3,10.0,38.2,1.5,0.0,8.7,32.4
10984,BU03560700,BU03560700,0.0,17.6,68.2,       .,       .,       .,       .,1.3,0.0,12.6,46.3,1.1,0.3,10.0,38.2,1.5,0.0,8.7,32.4
10985,WK035608,WK035608,1.9,9.7,40.4,       .,       .,       .,       .,0.5,1.4,9.6,26.7,0.5,1.8,10.2,17.9,1.0,0.9,7.3,18.7
10986,BU03560801,BU03560801,1.9,12.5,36.8,       .,       .,       .,       .,0.7,1.2,11.6,21.7,0.6,2.0,11.4,13.2,0.7,1.8,8.6,14.9
10987,BU03560802,BU03560802,2.0,7.9,48.4,       .,       .,       .,       .,0.5,2.0,8.5,36.3,0.6,1.9,9.5,26.4,1.2,0.2,6.5,26.3
10988,BU03560803,BU03560803,1.9,8.5,37.5,       .,       .,       .,       .,0.4,1.2,8.5,23.8,0.4,1.4,9.6,15.7,1.1,0.6,6.7,16.3
10989,BU03560804,BU03560804,0.8,5.1,33.3,       .,       .,       .,       .,1.2,0.3,5.4,23.3,1.1,0.4,7.2,16.0,1.8,0.0,4.3,16.6
10990,WK035610,WK035610,0.9,39.7,65.4,       .,       .,       .,       .,0.5,2.1,14.7,26.2,0.6,1.1,9.2,18.9,0.4,1.7,9.0,18.4
10991,BU03561001,BU03561001,0.0,41.4,61.4,       .,       .,       .,       .,0.8,1.7,16.8,25.9,0.8,0.7,10.7,19.6,0.6,0.9,10.8,19.2
10992,BU03561002,BU03561002,0.2,41.0,63.0,       .,       .,       .,       .,0.4,2.4,15.5,26.0,0.4,1.1,9.5,19.0,0.4,1.6,9.3,18.0
10993,BU03561003,BU03561003,3.2,35.7,73.8,       .,       .,       .,       .,0.4,2.2,11.3,26.6,0.6,1.6,7.1,17.9,0.3,2.7,6.5,18.4
10994,WK035611,WK035611,3.6,23.2,89.7,       .,       .,       .,       .,0.4,2.2,10.7,33.1,0.4,3.3,7.6,26.4,0.5,1.8,6.7,27.5
10995,BU03561101,BU03561101,4.5,24.8,90.2,       .,       .,       .,       .,0.5,2.4,11.1,33.4,0.4,3.8,7.7,26.8,0.5,2.3,6.8,27.6
10996,BU03561102,BU03561102,2.5,21.3,89.0,       .,       .,       .,       .,0.4,2.0,10.3,32.7,0.4,2.7,7.5,25.9,0.5,1.1,6.6,27.4
10997,WK035612,WK035612,5.0,17.6,82.9,       .,       .,       .,       .,0.9,1.8,9.4,27.3,0.9,0.9,7.0,20.0,0.8,1.3,6.0,21.1
10998,BU03561200,BU03561200,5.0,17.6,82.9,       .,       .,       .,       .,0.9,1.8,9.4,27.3,0.9,0.9,7.0,20.0,0.8,1.3,6.0,21.1
10999,WK035613,WK035613,10.5,19.9,62.3,       .,       .,       .,       .,0.5,2.5,9.1,22.1,0.8,0.8,7.0,14.9,0.6,1.3,5.6,14.2
